id;title;link;image_link;updated_date;sku;short_code;category_id;description;price;sale_price;discount;category_id_2;category_id_3;has_stock;original_price;discount_percent
48134;ĐÈN KHÒ NAMILUX NH-027;https://www.nguyenkim.com/den-kho-namilux-nh-027.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/196/10028847-den-kho-namilux-nh-027-1.jpg?t=180416;1625534842;000000000010028847-CAI;10028847;;Mua đèn khò Namilux NH-027 tại Nguyễn Kim. Hàng chính hãng, giá tốt, trả góp 0%, miễn phí vận chuyển. Mua ngay.;200000;200000;0;Gia Dụng;Gia Dụng;1;200000;0%
3930;Máy khoan búa Bosch GBH 2-18 RE;https://www.nguyenkim.com/may-khoan-bua-bosch-gbh-2-18-re.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/294/10004126-may-khoan-bua-bosch-gbh-2-18-re-1.jpg?t=180416;1625534842;000000000010004126-CAI;10004126;Công Cụ Dụng Cụ;Máy khoan búa Bosch GBH 2-18 RE chính hãng, giá tốt tại Nguyễn Kim. Miễn phí vận chuyển. Giao hàng tận nơi. Mua ngay!;2390000;2390000;0;Máy Khoan;Máy khoan Bosch;1;2590000;8%
13020;Máy khoan búa Bosch GBH 2-26 DRE;https://www.nguyenkim.com/may-khoan-bua-bosch-gbh-2-26-dre.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/37/10009771-may-khoan-bua-bosch-gbh-2-26-dre-1.jpg?t=180416;1625534842;000000000010009771-CAI;10009771;Công Cụ Dụng Cụ;Mua online Máy khoan búa Bosch GBH 2-26 DRE chính hãng, giá tốt tại Nguyễn Kim. Miễn phí vận chuyển. Giao hàng tận nơi. Mua ngay!;3990000;3990000;0;Máy Khoan;Máy khoan Bosch;1;4080000;2%
24285;Máy khoan động lực Bosch GSB 16 RE;https://www.nguyenkim.com/may-khoan-dong-luc-bosch-gsb-16-re.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/60/10018584-may-khoan-dong-luc-bosch-gsb-16-re-cai-tien-1.jpg?t=180416;1625534842;000000000010018584-CAI;10018584;Công Cụ Dụng Cụ;Mua online Máy khoan động lực  Bosch GSB 16 RE chính hãng, giá tốt tại Nguyễn Kim. Miễn phí vận chuyển. Giao hàng tận nơi. Mua ngay!;1590000;1590000;0;Máy Khoan;Máy khoan Bosch;1;1790000;11%
36018;Máy mài góc  Bosch GWS 060;https://www.nguyenkim.com/may-mai-goc-bosch-gws-060.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/150/10023598-may-mai-goc-bosch-gws-060-1.jpg?t=180416;1625534842;000000000010023598-CAI;10023598;Công Cụ Dụng Cụ;Mua online Máy mài góc Bosch GWS 060 chính hãng, giá tốt tại Nguyễn Kim. Miễn phí vận chuyển. Giao hàng tận nơi. Mua ngay!;890000;890000;0;Máy Mài;Máy cưa máy mài Bosch;1;990000;10%
36030;Máy khoan động lực Bosch GSB 550 SET;https://www.nguyenkim.com/may-khoan-dong-luc-bosch-gsb-550-set.html?utm_source=criteo&utm_medium=cpcmedia&utm_campaign=dynamicretargeting;https://cdn.nguyenkimmall.com/images/detailed/709/10023597-may-khoan-dong-luc-bosch-gsb-550-set-1.jpg?t=180416;1625534842;000000000010023597-CAI;10023597;Công Cụ Dụng Cụ;Mua online Máy khoan động lực Bosch GSB 550 SET chính hãng, giá tốt tại Nguyễn Kim. Miễn phí vận chuyển. Giao hàng tận nơi. Mua ngay!;1390000;1390000;0;Máy Khoan;Máy khoan Bosch;1;1590000;13%
